"cve","mean_counts_7","mean_counts_30","mean_counts_100","mean_counts_14"
"CVE-1999-0111",118.28571428571428,125.0,63.06,113.57142857142857
"CVE-1999-0386",16.857142857142858,6.833333333333333,2.05,12.428571428571429
"CVE-1999-0407",396.7142857142857,339.7333333333333,101.92,430.64285714285717
"CVE-1999-0509",220.28571428571428,171.16666666666666,51.35,233.35714285714286
"CVE-1999-0736",9.428571428571429,5.833333333333333,1.75,8.714285714285714
"CVE-1999-1069",174.85714285714286,168.16666666666666,81.27,186.07142857142858
"CVE-1999-1078",0.0,0.0,0.0,0.0
"CVE-1999-1538",92.71428571428572,71.66666666666667,21.5,95.14285714285714
"CVE-2000-0032",0.0,0.0333333333333333,0.01,0.0
"CVE-2000-0071",162.14285714285714,144.8,43.44,179.35714285714286
"CVE-2000-0208",0.0,0.0,0.0,0.0
"CVE-2000-0760",0.0,0.0,0.0,0.0
"CVE-2000-0778",182.7142857142857,139.13333333333333,41.74,184.28571428571428
"CVE-2000-0868",669.1428571428571,515.8333333333334,154.75,694.0
"CVE-2000-0884",0.0,0.1666666666666666,0.07,0.07142857142857142
"CVE-2001-0330",0.0,0.0,0.0,0.0
"CVE-2001-0500",0.4285714285714285,1.7,0.9,1.5
"CVE-2001-0537",0.0,0.0,0.0,0.0
"CVE-2001-0997",171.14285714285714,183.9333333333333,97.03,190.07142857142858
"CVE-2001-1212",0.1428571428571428,0.2333333333333333,0.85,0.07142857142857142
"CVE-2002-0079",0.0,0.0333333333333333,0.08,0.0
"CVE-2002-0946",4.571428571428571,5.333333333333333,2.56,7.928571428571429
"CVE-2002-0953",227.28571428571428,340.6666666666667,102.2,278.92857142857144
"CVE-2002-1149",824.4285714285714,350.96666666666664,105.29,609.0714285714286
"CVE-2002-2006",7.285714285714286,7.433333333333334,3.85,7.785714285714286
"CVE-2002-2007",0.0,0.0,0.0,0.0
"CVE-2002-2008",0.0,0.0,0.0,0.0
"CVE-2003-0042",7.428571428571429,1.7333333333333334,0.52,3.7142857142857144
"CVE-2003-0109",0.0,1.1333333333333333,0.4,0.7142857142857143
"CVE-2003-0190",0.1428571428571428,0.3666666666666666,0.21,0.2857142857142857
"CVE-2003-0349",0.0,0.0333333333333333,0.03,0.07142857142857142
"CVE-2003-0614",0.1428571428571428,0.0333333333333333,0.02,0.07142857142857142
